time,env_condition,Electric UV light,PM Sensor,Motion Detect,Air Q sensor,temperature,humidity,CO reading
1:26:00 am,warm & dry,Off,0.007562781,Off,0.02,21.1,51.3,0.005
3:50:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75,0.003
6:14:00 am,var temp & humid,On,0.006416042,Off,0.017,24.3,73.9,0.004
8:38:00 am,warm & dry,Off,0.007525747,Off,0.02,21.1,51.4,0.005
11:02:00 am,cold & wet,Off,0.005177922,Off,0.013,19.4,74.9,0.003
1:26:00 pm,warm & dry,Off,0.007556577,Off,0.02,21.1,51.4,0.005
3:50:00 pm,cold & wet,Off,0.005198697,Off,0.014,19.4,75,0.003
6:14:00 pm,warm & dry,Off,0.007586256,Off,0.02,21.1,51.3,0.005
8:38:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
11:02:00 pm,warm & dry,Off,0.007553512,Off,0.02,21.1,51.4,0.005
1:26:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,73.9,0.004
3:50:00 am,warm & dry,Off,0.00755038,Off,0.02,21.1,51.7,0.005
6:14:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75,0.003
8:38:00 am,warm & dry,Off,0.007552087,Off,0.02,21.1,51.8,0.005
11:02:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
1:26:00 pm,warm & dry,Off,0.007581495,Off,0.02,21.1,51.8,0.005
3:50:00 pm,warm & dry,Off,0.007551965,Off,0.02,21.1,51.7,0.005
6:14:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75,0.003
8:38:00 pm,warm & dry,Off,0.007587813,Off,0.02,21.1,51.8,0.005
11:02:00 pm,warm & dry,Off,0.007587768,Off,0.02,21.1,51.9,0.005
1:26:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75,0.003
3:50:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,73.7,0.004
6:14:00 am,warm & dry,Off,0.007595643,Off,0.02,21.1,52,0.005
8:38:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
11:02:00 am,warm & dry,Off,0.007572131,Off,0.02,21.1,52.1,0.005
1:26:00 pm,cold & wet,Off,0.005177922,Off,0.013,19.4,75,0.003
3:50:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,73.7,0.004
6:14:00 pm,warm & dry,Off,0.007558209,Off,0.02,21.1,52,0.005
8:38:00 pm,warm & dry,Off,0.007575273,Off,0.02,21.1,51.8,0.005
11:02:00 pm,warm & dry,Off,0.007536462,Off,0.02,21.1,51.7,0.005
1:26:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,73.8,0.004
3:50:00 am,warm & dry,Off,0.007541062,Off,0.02,21.1,51.6,0.005
6:14:00 am,var temp & humid,On,0.006400262,Off,0.017,24.3,73.7,0.004
8:38:00 am,warm & dry,Off,0.007545795,Off,0.02,21.1,51.6,0.005
11:02:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75,0.003
1:26:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,73.7,0.004
3:50:00 pm,warm & dry,Off,0.007569139,Off,0.02,21.1,51.7,0.005
6:14:00 pm,cold & wet,Off,0.00532833,Off,0.014,19.4,75,0.003
8:38:00 pm,warm & dry,Off,0.00755038,Off,0.02,21.1,51.6,0.005
11:02:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,73.7,0.004
1:26:00 am,warm & dry,Off,0.007595641,Off,0.02,21.1,51.5,0.005
3:50:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
6:14:00 am,warm & dry,Off,0.007558209,Off,0.02,21.1,51.6,0.005
8:38:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
11:02:00 am,warm & dry,Off,0.007544189,Off,0.02,21.1,51.8,0.005
1:26:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,73.8,0.004
3:50:00 pm,warm & dry,Off,0.007597155,Off,0.02,21.1,51.9,0.005
6:14:00 pm,warm & dry,Off,0.007572131,Off,0.02,21.2,52.1,0.005
8:38:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,73.9,0.004
11:02:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
1:26:00 am,warm & dry,Off,0.00754725,Off,0.02,21.1,52,0.005
3:50:00 am,warm & dry,Off,0.007534881,Off,0.02,21.2,52.1,0.005
6:14:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,74,0.004
8:38:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75,0.003
11:02:00 am,warm & dry,Off,0.007575273,Off,0.02,21.1,52.1,0.005
1:26:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,74,0.004
3:50:00 pm,warm & dry,Off,0.007564369,Off,0.02,21.1,52.1,0.005
6:14:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75,0.003
8:38:00 pm,warm & dry,Off,0.007553512,Off,0.02,21.1,52.1,0.005
11:02:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
1:26:00 am,warm & dry,Off,0.007578394,Off,0.02,21.1,52.1,0.005
3:50:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,74,0.004
6:14:00 am,warm & dry,Off,0.007534881,Off,0.02,21.2,52.2,0.005
8:38:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75,0.003
11:02:00 am,warm & dry,Off,0.007534881,Off,0.02,21.2,52.2,0.005
1:26:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,74,0.004
3:50:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
6:14:00 pm,warm & dry,Off,0.00755503,Off,0.02,21.2,52.2,0.005
8:38:00 pm,var temp & humid,On,0.006380651,Off,0.017,24.3,74,0.004
11:02:00 pm,cold & wet,Off,0.005339347,Off,0.014,19.4,75,0.003
1:26:00 am,warm & dry,Off,0.007556622,Off,0.02,21.1,52.1,0.005
3:50:00 am,warm & dry,Off,0.007559712,Off,0.02,21.2,52.2,0.005
6:14:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75.1,0.003
8:38:00 am,warm & dry,Off,0.007542767,Off,0.02,21.1,52.1,0.005
11:02:00 am,warm & dry,Off,0.007551965,Off,0.02,21.2,52.2,0.005
1:26:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,74.1,0.004
3:50:00 pm,warm & dry,Off,0.007575273,Off,0.02,21.2,52.2,0.005
6:14:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.1,0.003
8:38:00 pm,warm & dry,Off,0.007559712,Off,0.02,21.2,52.2,0.005
11:02:00 pm,var temp & humid,On,0.006400262,Off,0.017,24.3,74,0.004
1:26:00 am,warm & dry,Off,0.007556577,Off,0.02,21.2,52.1,0.005
3:50:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75,0.003
6:14:00 am,warm & dry,Off,0.007570668,Off,0.02,21.1,52,0.005
8:38:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,74,0.004
11:02:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75,0.003
1:26:00 pm,warm & dry,Off,0.007559712,Off,0.02,21.2,52,0.005
3:50:00 pm,warm & dry,Off,0.007553512,Off,0.02,21.2,51.9,0.005
6:14:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75,0.003
8:38:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,73.9,0.004
11:02:00 pm,warm & dry,Off,0.00755038,Off,0.02,21.2,51.9,0.005
1:26:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
3:50:00 am,warm & dry,Off,0.007569057,Off,0.02,21.2,51.8,0.005
6:14:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,74,0.004
8:38:00 am,warm & dry,Off,0.007569057,Off,0.02,21.2,51.7,0.005
11:02:00 am,var temp & humid,On,0.006408146,Off,0.017,24.3,74,0.004
1:26:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.1,0.003
3:50:00 pm,warm & dry,Off,0.007548835,Off,0.02,21.2,51.7,0.005
6:14:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,74.1,0.004
8:38:00 pm,warm & dry,Off,0.007538004,Off,0.02,21.2,51.6,0.005
11:02:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.1,0.003
1:26:00 am,warm & dry,Off,0.007597155,Off,0.02,21.2,51.6,0.005
3:50:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.1,0.003
6:14:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,74.1,0.004
8:38:00 am,warm & dry,Off,0.007559712,Off,0.02,21.2,51.6,0.005
11:02:00 am,warm & dry,Off,0.007556577,Off,0.02,21.2,51.6,0.005
1:26:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.1,0.003
3:50:00 pm,var temp & humid,On,0.006380651,Off,0.017,24.3,73.9,0.004
6:14:00 pm,warm & dry,Off,0.007534881,Off,0.02,21.2,51.7,0.005
8:38:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.1,0.003
11:02:00 pm,warm & dry,Off,0.007556622,Off,0.02,21.2,51.8,0.005
1:26:00 am,warm & dry,Off,0.007572176,Off,0.02,21.2,51.9,0.005
3:50:00 am,cold & wet,Off,0.005339347,Off,0.014,19.4,75.1,0.003
6:14:00 am,warm & dry,Off,0.007559712,Off,0.02,21.2,51.9,0.005
8:38:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75.1,0.003
11:02:00 am,warm & dry,Off,0.007600265,Off,0.02,21.2,52,0.005
1:26:00 pm,var temp & humid,On,0.006388506,Off,0.017,24.3,73.8,0.004
3:50:00 pm,warm & dry,Off,0.007586256,Off,0.02,21.2,52.1,0.005
6:14:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.1,0.003
8:38:00 pm,warm & dry,Off,0.007519458,Off,0.02,21.2,52.1,0.005
11:02:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.2,0.003
1:26:00 am,warm & dry,Off,0.007569057,Off,0.02,21.2,52.2,0.005
3:50:00 am,warm & dry,Off,0.007534881,Off,0.02,21.2,52.2,0.005
6:14:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,73.7,0.004
8:38:00 am,cold & wet,Off,0.005198697,Off,0.014,19.4,75.2,0.003
11:02:00 am,warm & dry,Off,0.007534881,Off,0.02,21.2,52.2,0.005
1:26:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.2,0.003
3:50:00 pm,warm & dry,Off,0.007542645,Off,0.02,21.2,52.2,0.005
6:14:00 pm,warm & dry,Off,0.00755038,Off,0.02,21.2,52.3,0.005
8:38:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75.2,0.003
11:02:00 pm,warm & dry,Off,0.007575273,Off,0.02,21.2,52.3,0.005
1:26:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,73.8,0.004
3:50:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.2,0.003
6:14:00 am,warm & dry,Off,0.007581495,Off,0.02,21.2,52.4,0.005
8:38:00 am,var temp & humid,On,0.00642395,Off,0.017,24.3,73.8,0.004
11:02:00 am,warm & dry,Off,0.007542645,Off,0.02,21.2,52.4,0.005
1:26:00 pm,cold & wet,Off,0.00532833,Off,0.014,19.4,75.2,0.003
3:50:00 pm,warm & dry,Off,0.007569117,Off,0.02,21.2,52.4,0.005
6:14:00 pm,warm & dry,Off,0.007558164,Off,0.02,21.2,52.4,0.005
8:38:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75.2,0.003
11:02:00 pm,warm & dry,Off,0.007565918,Off,0.02,21.2,52.4,0.005
1:26:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75.3,0.003
3:50:00 am,var temp & humid,On,0.006416042,Off,0.017,24.3,74.2,0.004
6:14:00 am,warm & dry,Off,0.007600265,Off,0.02,21.2,52.4,0.005
8:38:00 am,cold & wet,Off,0.005094012,Off,0.013,19.4,75.2,0.003
11:02:00 am,warm & dry,Off,0.007559712,Off,0.02,21.2,52.4,0.005
1:26:00 pm,var temp & humid,On,0.00642395,Off,0.017,24.3,73.8,0.004
3:50:00 pm,warm & dry,Off,0.007559712,Off,0.02,21.2,52.5,0.005
6:14:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75.3,0.003
8:38:00 pm,warm & dry,Off,0.007550442,Off,0.02,21.3,52.5,0.005
11:02:00 pm,warm & dry,Off,0.007536462,Off,0.02,21.3,52.5,0.005
1:26:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75.3,0.003
3:50:00 am,var temp & humid,On,0.006392389,Off,0.017,24.3,73.8,0.004
6:14:00 am,warm & dry,Off,0.007559712,Off,0.02,21.2,52.5,0.005
8:38:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75.3,0.003
11:02:00 am,var temp & humid,On,0.006372872,Off,0.017,24.3,73.9,0.004
1:26:00 pm,warm & dry,Off,0.007542645,Off,0.02,21.2,52.5,0.005
3:50:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
6:14:00 pm,warm & dry,Off,0.007548835,Off,0.02,21.2,52.5,0.005
8:38:00 pm,warm & dry,Off,0.00754269,Off,0.02,21.2,52.5,0.005
11:02:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
1:26:00 am,var temp & humid,On,0.006400262,Off,0.017,24.3,73.9,0.004
3:50:00 am,warm & dry,Off,0.00758154,Off,0.02,21.2,52.5,0.005
6:14:00 am,warm & dry,Off,0.007553512,Off,0.02,21.2,52.5,0.005
8:38:00 am,cold & wet,Off,0.005177922,Off,0.013,19.4,75.3,0.003
11:02:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,74,0.004
1:26:00 pm,warm & dry,Off,0.007556577,Off,0.02,21.2,52.5,0.005
3:50:00 pm,cold & wet,Off,0.005198697,Off,0.014,19.4,75.4,0.003
6:14:00 pm,warm & dry,Off,0.007590918,Off,0.02,21.2,52.5,0.005
8:38:00 pm,cold & wet,Off,0.00532833,Off,0.014,19.4,75.3,0.003
11:02:00 pm,warm & dry,Off,0.007565918,Off,0.02,21.2,52.4,0.005
1:26:00 am,var temp & humid,On,0.006461761,Off,0.017,24.3,74,0.004
3:50:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.3,0.003
6:14:00 am,warm & dry,Off,0.007544189,Off,0.02,21.2,52.4,0.005
8:38:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
11:02:00 am,warm & dry,Off,0.007544189,Off,0.02,21.2,52.4,0.005
1:26:00 pm,warm & dry,Off,0.007553512,Off,0.02,21.2,52.4,0.005
3:50:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.4,0.003
6:14:00 pm,warm & dry,Off,0.00755038,Off,0.02,21.3,52.4,0.005
8:38:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,74.1,0.004
11:02:00 pm,warm & dry,Off,0.007583108,Off,0.02,21.2,52.4,0.005
1:26:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75.4,0.003
3:50:00 am,warm & dry,Off,0.007594047,Off,0.02,21.2,52.4,0.005
6:14:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75.4,0.003
8:38:00 am,warm & dry,Off,0.007565918,Off,0.02,21.2,52.4,0.005
11:02:00 am,warm & dry,Off,0.00757228,Off,0.02,21.3,52.5,0.005
1:26:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,74.2,0.004
3:50:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
6:14:00 pm,warm & dry,Off,0.0075334,Off,0.02,21.3,52.5,0.005
8:38:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.4,0.003
11:02:00 pm,var temp & humid,On,0.00642395,Off,0.017,24.3,74.1,0.004
1:26:00 am,warm & dry,Off,0.007564414,Off,0.02,21.2,52.5,0.005
3:50:00 am,cold & wet,Off,0.005198697,Off,0.014,19.4,75.4,0.003
6:14:00 am,warm & dry,Off,0.007581495,Off,0.02,21.3,52.6,0.005
8:38:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,74.1,0.004
11:02:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75.4,0.003
1:26:00 pm,warm & dry,Off,0.007565918,Off,0.02,21.3,52.7,0.005
3:50:00 pm,cold & wet,Off,0.005177922,Off,0.013,19.4,75.4,0.003
6:14:00 pm,warm & dry,Off,0.007550425,Off,0.02,21.3,52.7,0.005
8:38:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,74.1,0.004
11:02:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.4,0.003
1:26:00 am,warm & dry,Off,0.007569117,Off,0.02,21.3,52.7,0.005
3:50:00 am,warm & dry,Off,0.007564369,Off,0.02,21.3,52.7,0.005
6:14:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75.4,0.003
8:38:00 am,warm & dry,Off,0.007559712,Off,0.02,21.3,52.6,0.005
11:02:00 am,warm & dry,Off,0.007556616,Off,0.02,21.3,52.6,0.005
1:26:00 pm,cold & wet,Off,0.005198697,Off,0.014,19.4,75.4,0.003
3:50:00 pm,var temp & humid,On,0.006392389,Off,0.017,24.3,74,0.004
6:14:00 pm,warm & dry,Off,0.007572131,Off,0.02,21.3,52.6,0.005
8:38:00 pm,cold & wet,Off,0.00532833,Off,0.014,19.4,75.8,0.003
11:02:00 pm,warm & dry,Off,0.007565918,Off,0.02,21.3,52.7,0.005
1:26:00 am,warm & dry,Off,0.007565963,Off,0.02,21.3,52.7,0.005
3:50:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
6:14:00 am,warm & dry,Off,0.007559712,Off,0.02,21.3,52.8,0.005
8:38:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,74,0.004
11:02:00 am,warm & dry,Off,0.007556577,Off,0.02,21.3,52.7,0.005
1:26:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.4,0.003
3:50:00 pm,warm & dry,Off,0.007575378,Off,0.02,21.3,52.7,0.005
6:14:00 pm,var temp & humid,On,0.006400262,Off,0.017,24.3,74,0.004
8:38:00 pm,warm & dry,Off,0.007559712,Off,0.02,21.3,52.7,0.005
11:02:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,74.1,0.004
1:26:00 am,warm & dry,Off,0.007580031,Off,0.02,21.3,52.6,0.005
3:50:00 am,cold & wet,Off,0.005198697,Off,0.014,19.4,75.4,0.003
6:14:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,74.1,0.004
8:38:00 am,warm & dry,Off,0.00755038,Off,0.02,21.3,52.6,0.005
11:02:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
1:26:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,74.3,0.004
3:50:00 pm,warm & dry,Off,0.007556577,Off,0.02,21.3,52.6,0.005
6:14:00 pm,warm & dry,Off,0.007559757,Off,0.02,21.3,52.6,0.005
8:38:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.4,0.003
11:02:00 pm,warm & dry,Off,0.007569057,Off,0.02,21.3,52.6,0.005
1:26:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,74.1,0.004
3:50:00 am,warm & dry,Off,0.007569057,Off,0.02,21.3,52.5,0.005
6:14:00 am,cold & wet,Off,0.005241482,Off,0.014,19.4,75.4,0.003
8:38:00 am,warm & dry,Off,0.007559712,Off,0.02,21.3,52.5,0.005
11:02:00 am,var temp & humid,On,0.00643187,Off,0.017,24.3,74.1,0.004
1:26:00 pm,warm & dry,Off,0.007565918,Off,0.02,21.3,52.5,0.005
3:50:00 pm,cold & wet,Off,0.005241482,Off,0.014,19.4,75.3,0.003
6:14:00 pm,var temp & humid,On,0.00643187,Off,0.017,24.3,74.2,0.004
8:38:00 pm,warm & dry,Off,0.007528705,Off,0.02,21.3,52.5,0.005
11:02:00 pm,warm & dry,Off,0.007608253,Off,0.02,21.3,52.5,0.005
1:26:00 am,warm & dry,Off,0.007606556,Off,0.02,21.3,52.6,0.005
3:50:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75.2,0.003
6:14:00 am,var temp & humid,On,0.006449785,Off,0.017,24.3,74.2,0.004
8:38:00 am,warm & dry,Off,0.00758154,Off,0.02,21.3,52.6,0.005
11:02:00 am,cold & wet,Off,0.005284691,Off,0.014,19.4,75.3,0.003
1:26:00 pm,warm & dry,Off,0.00754269,Off,0.02,21.3,52.6,0.005
3:50:00 pm,var temp & humid,On,0.00642395,Off,0.017,24.3,74.3,0.004
6:14:00 pm,cold & wet,Off,0.005284691,Off,0.014,19.4,75.7,0.003
8:38:00 pm,warm & dry,Off,0.007586256,Off,0.02,21.3,52.6,0.005
11:02:00 pm,var temp & humid,On,0.006437835,Off,0.017,24.3,74.3,0.004
1:26:00 am,warm & dry,Off,0.007544189,Off,0.02,21.3,52.6,0.005
3:50:00 am,warm & dry,Off,0.007576885,Off,0.02,21.3,52.6,0.005
6:14:00 am,warm & dry,Off,0.007556577,Off,0.02,21.3,52.5,0.005
8:38:00 am,var temp & humid,On,0.00642395,Off,0.017,24.3,74.2,0.004
11:02:00 am,cold & wet,Off,0.00532833,Off,0.014,19.4,75.1,0.003
